"Source:","E:\Eigene Dateien\Eigene Dokumente\Kicad\Homematic\HM-LC-SW1-BA-PCB_mini_MAX1724\HM-LC-SW1-BA-PCB_mini_MAX1724.sch"
"Date:","23.11.2019 20:29:14"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C2","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C3","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C6","10µ","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C7","10µ","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","D1","LED Red","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:LED-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","IC1","ATMEGA328P-A","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:ATMEGA328P-A-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm",""
"","","IC2","CC1101","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CC1101-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Modules:CC1101_Module",""
"","","J1","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J2","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","JP1","Jumper_NO_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"","","L1","10µH","Device:L_Small","Inductor_SMD:L_1812_4532Metric_Pad1.30x3.40mm_HandSolder","https://de.aliexpress.com/item/32845690258.html"
"","","P3","ANT","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CONN_01X01-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.00mm",""
"","","P4","ISP Bottom","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CONN_01X05-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Modules:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide",""
"","","P5","ISP Top","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CONN_01X05-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Modules:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide",""
"","","Q1","TSM2302","Transistor_FET:IRLML2060","Package_TO_SOT_SMD:SOT-23","http://www.farnell.com/datasheets/1945672.pdf"
"","","R1","10k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R2","1k5","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","","R3","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","","R4","470k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R5","100k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R6","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","","SW1","Reset","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:SW_PUSH-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Buttons_Switches_SMD:SW_SPST_FSMSM",""
"","","SW2","Config","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:SW_PUSH-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Buttons_Switches_SMD:SW_SPST_FSMSM",""
"","","U1","MAX1724","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:MAX1724-HM-LC-SW1-BA-PCB_mini2-rescue","Package_TO_SOT_SMD:TSOT-23-5","https://de.aliexpress.com/item/32353066414.html"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C2, C3","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"2","2","C6, C7","10µ","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"3","1","D1","LED Red","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:LED-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"4","1","IC1","ATMEGA328P-A","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:ATMEGA328P-A-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm",""
"5","1","IC2","CC1101","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CC1101-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Modules:CC1101_Module",""
"6","1","J1","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"7","1","J2","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"8","1","JP1","Jumper_NO_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"9","1","L1","10µH","Device:L_Small","Inductor_SMD:L_1812_4532Metric_Pad1.30x3.40mm_HandSolder","https://de.aliexpress.com/item/32845690258.html"
"10","1","P3","ANT","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CONN_01X01-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.00mm",""
"11","1","P4","ISP Bottom","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CONN_01X05-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Modules:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide",""
"12","1","P5","ISP Top","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:CONN_01X05-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Modules:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide",""
"13","1","Q1","TSM2302","Transistor_FET:IRLML2060","Package_TO_SOT_SMD:SOT-23","http://www.farnell.com/datasheets/1945672.pdf"
"14","1","R1","10k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"15","1","R2","1k5","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"16","1","R3","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"17","1","R4","470k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"18","1","R5","100k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"19","1","R6","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"20","1","SW1","Reset","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:SW_PUSH-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Buttons_Switches_SMD:SW_SPST_FSMSM",""
"21","1","SW2","Config","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:SW_PUSH-HMSensor-StepUp-rescue-HM-LC-SW1-BA-PCB_mini2-rescue","Buttons_Switches_SMD:SW_SPST_FSMSM",""
"22","1","U1","MAX1724","HM-LC-SW1-BA-PCB_mini_MAX1724-rescue:MAX1724-HM-LC-SW1-BA-PCB_mini2-rescue","Package_TO_SOT_SMD:TSOT-23-5","https://de.aliexpress.com/item/32353066414.html"
